;Lançamentos;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Verificação;Data Lançamento;Tipo Lançamento;Codigo Custo;Banco/ Conta;Numero OP/ NF;Boleto;Fornecedor/ Cliente;Nº Cheque; Valor ;Data Vencimento; Observações; Valor Real ; Saldo ; DRE ; Centro de Custo ;Tipo;Data Real;Antecipação;Pagamento;Ano;Mês;Custo;Mês Lanç.;Ano Lanç.
;Sim;23/12/2025;Combustível;4.402;Itau 84170 L;3851;3851/u;Auto Posto Guaçu Brasil;; R$259,22 ;05/01/2026;; R$259,22 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;19/12/2025;Exame Medico;2.304;Itau 84170 L;12802;12802/u;Anvimed;; R$143,55 ;05/01/2026;; R$143,55 ; R$462.457,87 ;Outras;EXAMES MEDICOS;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;16/12/2025;Restaurante;8.300;Itau 84170 L;2407;2407/u;Janaina Paula Lelis;; R$202,30 ;05/01/2026;; R$202,30 ; R$462.457,87 ;Restaurante;HORTIFRUTI;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;12/12/2025;Faturamento;;Itau 84170 L;8509;8509/u;Comil;; R$26.705,47 ;05/01/2026;; R$26.705,47 ; R$462.457,87 ;Faturamento/ Receita;;Entrada;05/01/2026;0;Não;2025;12;Não;12;2025
;Sim;15/12/2025;Faturamento;;Itau 84170 L;8515;8515/u;Comil;; R$10.901,47 ;05/01/2026;; R$10.901,47 ; R$462.457,87 ;Faturamento/ Receita;;Entrada;05/01/2026;0;Não;2025;12;Não;12;2025
;Sim;19/12/2025;Combustível;4.402;Itau 84170 L;;;Conectcar - Pedágio (Caminhão/Montana);; R$2.000,00 ;05/01/2026;Cartão de Crédito - Débito Automático; R$2.000,00 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;05/01/2026;Emprestimo Mensal;2.202;Itau 84170 L;;;Consórcio Veiculos;; R$781,61 ;05/01/2026;Parcela 56/80; R$781,61 ; R$462.457,87 ;Financeiro;FINANCIAMENTOS;Saida;05/01/2026;0;Sim;2026;1;Não;1;2026
;Sim;27/11/2025;Faturamento;;Itau 84170 L;8491;8491/u;Elfusa;; R$33.007,31 ;05/01/2026;; R$33.007,31 ; R$462.457,87 ;Faturamento/ Receita;;Entrada;05/01/2026;0;Não;2025;11;Não;11;2025
;Sim;05/01/2026;Despesas Bancarias Variavel;2.203;Itau 84170 L;;;Emissão Boleto Auto Posto Guaçu;; R$2,50 ;05/01/2026;; R$2,50 ; R$462.457,87 ;Financeiro;DESPESAS BANCARIAS;Saida;05/01/2026;0;Sim;2026;1;Sim;1;2026
;Sim;06/11/2025;Faturamento;;Itau 84170 L;8466;8466/u;Mineração Jundu;; R$47.296,76 ;05/01/2026;; R$47.296,76 ; R$462.457,87 ;Faturamento/ Receita;;Entrada;05/01/2026;0;Não;2025;11;Não;11;2025
;Sim;06/11/2025;Manutenção Maquina;6.200;Itau 84170 L;21097;21097/2;NLB Indústria;; R$865,10 ;05/01/2026;; R$865,10 ; R$462.457,87 ;Outras;MAQUINAS/ EQUIPAMENTOS;Saida;05/01/2026;0;Sim;2026;1;Sim;11;2025
;Sim;19/12/2026;Manutenção de veiculos;6.300;Itau 84170 L;01/02;01/02;Pietro Lub NF 8280;; R$281,50 ;05/01/2026;Cartão de Crédito - Débito Automático; R$281,50 ; R$462.457,87 ;Outras;VEICULOS MANUT;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2026
;Sim;17/11/2025;Materia-prima;7.100;Itau 84170 L;95592;95592/4;Polijuta;; R$5.382,00 ;05/01/2026;; R$5.382,00 ; R$462.457,87 ;Custo Produto (CMV);TECIDOS;Saida;05/01/2026;0;Não;2025;11;Não;11;2025
;Sim;05/11/2025;Materia-prima;7.100;Itau 84170 L;49464;49464/3;Rafitec;; R$3.700,86 ;05/01/2026;; R$3.700,86 ; R$462.457,87 ;Custo Produto (CMV);TECIDOS;Saida;05/01/2026;0;Não;2025;11;Não;11;2025
